@relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute searchPercentage numeric
@attribute debugPercentage numeric
@attribute focusPercentage numeric
@attribute editPercentage numeric
@attribute removePercentage numeric
@attribute stuck {YES,NO}

@data
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,2.13,95.74,2.13,NO
18.18,0,3.03,72.73,6.06,NO
30.77,0,0,61.54,7.69,NO
62.5,0,4.17,25,8.33,NO
17.86,3.57,14.29,64.29,0,NO
3.33,0,23.33,73.33,0,NO
85.71,0,14.29,0,0,NO
19.35,0,19.35,61.29,0,NO
21.62,2.7,5.41,70.27,0,NO
8.82,0,17.65,73.53,0,NO
0,0,2.08,97.92,0,NO
0,0,0,100,0,NO
0,0,6.52,93.48,0,NO
0,0,6.98,93.02,0,NO
0,7.41,7.41,85.19,0,NO
5.71,0,5.71,88.57,0,NO
50,20,30,0,0,NO
28.57,28.57,42.86,0,0,NO
6.25,0,12.5,81.25,0,NO
0,0,0,100,0,NO
0,0,6.52,93.48,0,NO
0,0,4.65,88.37,6.98,NO
0,0,2.08,97.92,0,NO
0,0,26.32,68.42,5.26,NO
0,0,12.2,87.8,0,NO
0,0,13.95,86.05,0,NO
0,0,11.36,88.64,0,NO
0,0,0,100,0,NO
0,0,9.09,90.91,0,NO
3.57,17.86,42.86,28.57,7.14,NO
10,0,2.5,87.5,0,NO
3.23,6.45,9.68,80.65,0,NO
33.33,0,66.67,0,0,NO
7.14,0,7.14,85.71,0,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
2.94,0,0,88.24,8.82,NO
0,0,0,0,0,NO
0,0,0,0,0,NO
0,0,0,0,0,NO
20,0,0,60,20,NO
0,0,0,0,0,NO
0,0,0,0,0,NO
6.67,6.67,6.67,73.33,6.67,NO
2.63,2.63,2.63,92.11,0,NO
14.71,0,11.76,73.53,0,NO
0,5.41,18.92,75.68,0,NO
23.08,11.54,26.92,38.46,0,NO
9.38,3.12,34.38,53.12,0,NO
0,0,17.07,82.93,0,NO
0,0,0,0,0,YES
100,0,0,0,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
33.33,0,50,16.67,0,YES
12.5,0,12.5,58.33,16.67,NO
0,0,0,97.96,2.04,NO
0,0,0,100,0,NO
0,0,0,100,0,NO
0,0,4.35,95.65,0,NO
0,0,0,100,0,YES
0,0,0,100,0,YES
9.09,0,0,90.91,0,YES
13.04,0,0,86.96,0,YES
13.04,0,0,86.96,0,YES
18.75,0,6.25,75,0,NO
10,16.67,33.33,40,0,NO
14.81,18.52,40.74,25.93,0,NO
21.43,10.71,28.57,39.29,0,NO
0,0,2.56,97.44,0,NO
20,2.86,14.29,62.86,0,NO
16,16,36,32,0,NO
31.58,10.53,47.37,10.53,0,NO
3.12,3.12,31.25,62.5,0,NO
2.78,2.78,16.67,77.78,0,NO
16.13,3.23,22.58,51.61,6.45,NO
8.57,0,11.43,74.29,5.71,NO
0,0,0,0,0,NO
4.44,0,13.33,82.22,0,NO
0,0,4.35,95.65,0,NO
4.76,0,9.52,80.95,4.76,NO
11.76,5.88,20.59,61.76,0,NO
55.56,11.11,33.33,0,0,NO
5.88,0,17.65,76.47,0,NO
5.71,0,14.29,80,0,NO
19.23,3.85,30.77,46.15,0,NO
10.53,0,31.58,57.89,0,NO
8.11,0,18.92,72.97,0,NO
2.78,2.78,13.89,80.56,0,NO
2.7,0,8.11,89.19,0,NO
0,0,0,97.96,2.04,NO
13.16,2.63,10.53,71.05,2.63,NO
0,0,100,0,0,NO
4.65,0,18.6,76.74,0,NO
3.12,6.25,18.75,71.88,0,NO
50,0,50,0,0,NO
34.78,4.35,39.13,21.74,0,NO
23.53,0,70.59,5.88,0,NO
33.33,0,66.67,0,0,NO
11.54,0,69.23,19.23,0,NO
0,0,4.88,90.24,4.88,NO
21.43,7.14,32.14,32.14,7.14,NO
6.06,0,15.15,78.79,0,NO
12.5,0,7.5,80,0,NO
25.64,0,5.13,64.1,5.13,NO
5,0,5,85,5,NO
16.22,0,13.51,56.76,13.51,NO
20,0,10,67.5,2.5,NO
50,16.67,33.33,0,0,NO
50,0,50,0,0,NO
35.29,0,20.59,44.12,0,NO
12.82,0,7.69,69.23,10.26,NO
11.43,0,14.29,57.14,17.14,NO
22.73,0,36.36,40.91,0,NO
13.79,0,3.45,82.76,0,NO
0,0,0,93.88,6.12,NO
4.65,2.33,6.98,76.74,9.3,NO
10.71,3.57,28.57,57.14,0,NO
5.88,2.94,23.53,67.65,0,NO
2.27,0,6.82,90.91,0,NO
2.63,0,21.05,73.68,2.63,NO
0,0,4.65,88.37,6.98,NO
0,0,2.17,91.3,6.52,NO
2.27,0,4.55,90.91,2.27,NO
2.5,0,5,92.5,0,NO
0,0,0,95.92,4.08,NO
0,0,0,97.92,2.08,NO
8.33,0,2.08,89.58,0,NO
10,2.5,5,82.5,0,NO
3.57,0,3.57,92.86,0,NO
11.76,0,29.41,58.82,0,NO
25,0,16.67,58.33,0,NO
7.69,0,34.62,57.69,0,NO
3.57,0,0,96.43,0,NO
47.62,0,42.86,9.52,0,NO
60,0,20,20,0,NO
29.63,0,14.81,48.15,7.41,NO
32,0,40,16,12,NO
50,0,30.77,19.23,0,NO
10,0,7.5,55,27.5,NO
13.64,0,0,68.18,18.18,NO
9.52,0,0,73.81,16.67,NO
0,0,2.78,94.44,2.78,NO
0,0,0,93.48,6.52,NO
4.26,0,2.13,93.62,0,NO
3.45,17.24,37.93,37.93,3.45,NO
11.11,16.67,61.11,11.11,0,NO
77.78,3.7,7.41,11.11,0,NO
13.04,0,0,60.87,26.09,NO
0,0,0,75.86,24.14,NO
19.51,0,0,63.41,17.07,NO
43.59,2.56,7.69,46.15,0,NO
53.85,15.38,23.08,7.69,0,NO
25,0,0,75,0,NO
0,0,0,91.3,8.7,NO
2.5,2.5,10,77.5,7.5,NO
14.29,7.14,39.29,35.71,3.57,NO
26.92,0,15.38,23.08,34.62,NO
40.91,0,50,9.09,0,NO
71.43,4.76,23.81,0,0,NO
52.94,5.88,23.53,5.88,11.76,NO
100,0,0,0,0,NO
43.75,0,43.75,12.5,0,NO
0,0,100,0,0,NO
100,0,0,0,0,NO
11.54,11.54,15.38,61.54,0,NO
8.57,8.57,2.86,80,0,NO
50,14.29,35.71,0,0,NO
3.57,0,3.57,92.86,0,NO
2.27,0,4.55,93.18,0,NO
12.12,6.06,12.12,69.7,0,NO
16.67,0,9.52,73.81,0,NO
4.35,0,4.35,91.3,0,NO
7.32,4.88,4.88,82.93,0,NO
58.33,0,33.33,8.33,0,NO
24,12,16,48,0,NO
0,18.18,0,63.64,18.18,NO
14.29,10.71,7.14,67.86,0,NO
5.41,2.7,10.81,81.08,0,NO
27.78,27.78,27.78,16.67,0,NO
63.64,18.18,18.18,0,0,NO
100,0,0,0,0,NO
53.85,0,46.15,0,0,NO
31.25,18.75,37.5,12.5,0,NO
0,0,0,0,0,NO
23.81,2.38,7.14,61.9,4.76,NO
7.14,2.38,7.14,83.33,0,NO
6.25,6.25,18.75,68.75,0,YES
6.25,6.25,18.75,68.75,0,YES
6.25,6.25,18.75,68.75,0,YES
14.71,2.94,11.76,70.59,0,NO
25.58,4.65,4.65,60.47,4.65,NO
37.84,10.81,18.92,21.62,10.81,NO
37.84,8.11,18.92,32.43,2.7,NO
67.74,3.23,12.9,16.13,0,NO
90,0,10,0,0,NO
51.35,2.7,10.81,35.14,0,NO
45,5,2.5,47.5,0,NO
21.43,2.38,4.76,61.9,9.52,NO
44.19,0,2.33,48.84,4.65,NO
30,10,15,45,0,NO
50,0,0,44.74,5.26,NO
46.15,5.13,5.13,43.59,0,NO
54.05,8.11,16.22,21.62,0,NO
41.46,0,0,58.54,0,NO
9.3,4.65,6.98,79.07,0,NO
35.29,5.88,17.65,41.18,0,NO
18.92,5.41,18.92,56.76,0,NO
78.38,2.7,8.11,8.11,2.7,NO
53.85,2.56,5.13,30.77,7.69,NO
16.22,2.7,10.81,64.86,5.41,NO
35.71,7.14,14.29,42.86,0,NO
74.07,0,25.93,0,0,NO
0,0,0,0,0,NO
63.89,8.33,11.11,13.89,2.78,NO
55.56,14.81,22.22,3.7,3.7,NO
39.13,4.35,52.17,4.35,0,NO
0,0,0,0,0,NO
37.14,0,17.14,42.86,2.86,NO
36.36,9.09,45.45,9.09,0,NO
4.76,0,4.76,90.48,0,NO
0,0,0,100,0,NO
0,0,0,97.96,2.04,NO
6.67,0,0,86.67,6.67,NO
33.33,0,16.67,33.33,16.67,NO
54.55,0,18.18,24.24,3.03,NO
13.89,0,5.56,75,5.56,NO
19.05,0,0,76.19,4.76,NO
13.89,8.33,16.67,52.78,8.33,NO
9.68,0,3.23,70.97,16.13,NO
3.7,0,25.93,70.37,0,NO
32,4,52,12,0,NO
33.33,0,66.67,0,0,NO
50,25,25,0,0,NO
50,0,50,0,0,NO
52.78,0,11.11,33.33,2.78,NO
36.59,0,2.44,51.22,9.76,NO
29.73,0,2.7,59.46,8.11,NO
28.95,0,2.63,63.16,5.26,NO
39.29,0,10.71,42.86,7.14,NO
56.76,0,0,35.14,8.11,NO
9.76,0,9.76,70.73,9.76,NO
30.95,0,7.14,50,11.9,NO
53.85,0,0,46.15,0,NO
15.22,0,0,84.78,0,NO
28.21,0,7.69,58.97,5.13,NO
28.89,0,6.67,62.22,2.22,NO
2.33,0,0,83.72,13.95,NO
18.18,0,4.55,77.27,0,NO
25,0,2.27,63.64,9.09,NO
36.84,0,2.63,57.89,2.63,NO
43.24,0,2.7,54.05,0,NO
27.5,2.5,7.5,62.5,0,NO
67.65,0,0,32.35,0,NO
71.43,2.86,5.71,17.14,2.86,NO
20,0,2.5,77.5,0,NO
34.21,0,2.63,60.53,2.63,NO
42.86,0,0,42.86,14.29,NO
13.33,2.22,4.44,75.56,4.44,NO
36.59,0,7.32,51.22,4.88,NO
79.17,4.17,16.67,0,0,NO
20,0,20,60,0,NO
5,7.5,10,77.5,0,NO
30,0,60,10,0,NO
25.64,0,10.26,56.41,7.69,NO
59.38,0,0,40.62,0,NO
71.43,0,28.57,0,0,NO
91.89,0,8.11,0,0,NO
60,0,11.43,25.71,2.86,NO
46.15,7.69,30.77,15.38,0,NO
42.5,0,15,32.5,10,NO
0,0,10.26,84.62,5.13,NO
0,0,0,50,50,NO
13.33,0,23.33,60,3.33,NO
0,0,8.82,79.41,11.76,NO
29.73,0,13.51,54.05,2.7,NO
11.63,0,4.65,76.74,6.98,NO
2.56,0,2.56,87.18,7.69,NO
10,2.5,7.5,77.5,2.5,NO
20.51,7.69,17.95,53.85,0,NO
32.35,11.76,23.53,32.35,0,NO
8.11,0,5.41,78.38,8.11,NO
6.06,0,24.24,69.7,0,NO
27.27,0,9.09,54.55,9.09,NO
51.72,0,3.45,37.93,6.9,NO
58.62,0,27.59,13.79,0,NO
47.37,0,10.53,42.11,0,NO
5.71,0,0,94.29,0,NO
20.51,0,0,79.49,0,NO
25,5,12.5,57.5,0,NO
79.49,2.56,12.82,5.13,0,NO
52.78,8.33,25,13.89,0,NO
65.12,0,2.33,30.23,2.33,NO
54.55,12.12,24.24,6.06,3.03,NO
36.36,6.06,21.21,36.36,0,NO
41.18,0,0,50,8.82,NO
50,14.71,17.65,17.65,0,NO
57.14,14.29,28.57,0,0,NO
100,0,0,0,0,NO
60.53,0,18.42,21.05,0,NO
51.35,0,13.51,35.14,0,NO
47.37,0,13.16,39.47,0,NO
36,0,24,40,0,NO
28,0,20,52,0,NO
0,0,100,0,0,NO
34.15,2.44,4.88,58.54,0,NO
10.87,0,0,78.26,10.87,NO
11.11,0,0,88.89,0,NO
38.1,2.38,2.38,57.14,0,NO
63.41,0,0,29.27,7.32,NO
21.62,2.7,8.11,62.16,5.41,NO
52.78,0,5.56,38.89,2.78,NO
47.22,0,0,44.44,8.33,NO
40,0,0,60,0,NO
42.5,0,0,50,7.5,NO
28.21,0,0,61.54,10.26,NO
18.18,0,6.06,69.7,6.06,NO
25.64,0,0,69.23,5.13,NO
20,0,0,80,0,NO
11.43,2.86,5.71,80,0,NO
27.78,5.56,22.22,38.89,5.56,NO
71.43,0,17.14,11.43,0,NO
14.29,8.57,8.57,68.57,0,NO
71.43,0,9.52,19.05,0,NO
0,0,100,0,0,NO
60,0,5.71,34.29,0,NO
0,0,0,100,0,NO
10,0,3.33,86.67,0,NO
38.89,0,5.56,52.78,2.78,NO
0,0,2.44,97.56,0,NO
2.33,0,2.33,95.35,0,NO
21.62,0,5.41,72.97,0,NO
23.53,0,8.82,64.71,2.94,NO
21.43,0,7.14,64.29,7.14,NO
33.33,0,0,57.14,9.52,NO
8.57,0,5.71,85.71,0,NO
51.35,2.7,2.7,43.24,0,NO
52.78,0,8.33,33.33,5.56,NO
64.71,2.94,5.88,23.53,2.94,NO
57.69,3.85,15.38,23.08,0,NO
45.71,0,8.57,45.71,0,NO
50,16.67,16.67,16.67,0,NO
0,0,0,0,0,NO
100,0,0,0,0,NO
17.78,2.22,2.22,77.78,0,NO
25,0,75,0,0,YES
45.45,0,54.55,0,0,YES
57.14,0,42.86,0,0,YES
60,0,40,0,0,YES
58.82,0,41.18,0,0,YES
55.56,0,44.44,0,0,YES
52.63,0,47.37,0,0,YES
50,0,50,0,0,YES
50,0,50,0,0,NO
19.23,0,26.92,42.31,11.54,NO
19.23,0,23.08,50,7.69,NO
0,0,0,0,0,YES
50,0,50,0,0,YES
59.09,0,40.91,0,0,NO
24.24,0,3.03,60.61,12.12,NO
17.65,0,8.82,67.65,5.88,NO
33.33,0,22.22,41.67,2.78,NO
2.78,0,19.44,69.44,8.33,NO
25.81,0,19.35,38.71,16.13,NO
12.9,0,12.9,64.52,9.68,NO
0,0,6.06,87.88,6.06,NO
8.11,0,13.51,64.86,13.51,NO
12.5,0,12.5,68.75,6.25,NO
11.36,0,2.27,77.27,9.09,NO
3.12,0,21.88,68.75,6.25,NO
10.53,0,0,89.47,0,NO
40.48,2.38,4.76,52.38,0,NO
44.12,5.88,8.82,35.29,5.88,NO
91.18,0,2.94,2.94,2.94,NO
69.7,0,3.03,27.27,0,NO
83.78,2.7,5.41,5.41,2.7,NO
91.18,0,2.94,5.88,0,NO
33.33,0,0,63.33,3.33,NO
62.5,2.5,2.5,27.5,5,NO
41.94,0,3.23,45.16,9.68,NO
80,2.86,5.71,11.43,0,NO
56.76,0,0,43.24,0,NO
73.68,0,10.53,10.53,5.26,NO
10.71,0,3.57,78.57,7.14,NO
12.2,0,4.88,82.93,0,NO
45.71,5.71,11.43,37.14,0,NO
14.29,0,2.38,80.95,2.38,NO
50,0,33.33,13.33,3.33,NO
21.95,0,0,73.17,4.88,NO
25,0,5.56,69.44,0,NO
35.71,2.38,7.14,50,4.76,NO
43.59,5.13,12.82,38.46,0,NO
19.05,4.76,4.76,71.43,0,NO
26.83,0,0,68.29,4.88,NO
53.12,3.12,12.5,31.25,0,NO
100,0,0,0,0,NO
100,0,0,0,0,NO
100,0,0,0,0,NO
92.5,2.5,5,0,0,NO
100,0,0,0,0,NO
20.83,0,16.67,50,12.5,NO
32.26,0,9.68,48.39,9.68,NO
58.33,2.78,2.78,19.44,16.67,NO
76.92,0,7.69,15.38,0,NO
12.12,6.06,21.21,57.58,3.03,NO
47.22,5.56,5.56,41.67,0,NO
94.44,0,5.56,0,0,NO
100,0,0,0,0,NO
100,0,0,0,0,NO
72.09,0,2.33,20.93,4.65,NO
14.63,0,4.88,73.17,7.32,NO
0,0,0,100,0,NO
17.78,0,0,82.22,0,NO
27.03,13.51,16.22,43.24,0,NO
8.89,2.22,6.67,55.56,26.67,NO
16.67,8.33,8.33,0,66.67,NO
10,10,20,60,0,NO
45.45,0,0,54.55,0,NO
89.19,2.7,2.7,5.41,0,NO
65.79,10.53,7.89,15.79,0,NO
50,0,50,0,0,NO
94.44,0,5.56,0,0,NO
88.57,0,5.71,5.71,0,NO
30.77,0,25.64,43.59,0,NO
40,0,20,40,0,NO
40,5,35,20,0,NO
76.92,0,19.23,3.85,0,NO
37.84,0,5.41,54.05,2.7,NO
17.95,0,2.56,76.92,2.56,NO
32.35,0,5.88,61.76,0,NO
4.88,0,0,95.12,0,NO
50,0,0,50,0,NO
80,0,0,20,0,NO
69.44,0,2.78,25,2.78,NO
46.15,0,0,51.28,2.56,NO
58.82,5.88,8.82,26.47,0,NO
80.56,2.78,13.89,2.78,0,NO
21.88,0,12.5,53.12,12.5,NO
42.86,0,5.71,45.71,5.71,NO
100,0,0,0,0,NO
8.33,0,19.44,63.89,8.33,NO
7.69,0,30.77,61.54,0,NO
42.86,0,0,45.71,11.43,NO
46.34,0,0,43.9,9.76,NO
62.5,0,6.25,18.75,12.5,NO
14.29,0,2.86,74.29,8.57,NO
16.67,0,2.78,77.78,2.78,NO
9.52,0,2.38,88.1,0,NO
36.36,0,9.09,54.55,0,NO
18.42,0,2.63,68.42,10.53,NO
9.52,0,0,80.95,9.52,NO
34.09,0,2.27,54.55,9.09,NO
29.27,0,0,63.41,7.32,NO
64.86,0,0,35.14,0,NO
22.5,0,2.5,72.5,2.5,NO
71.88,0,6.25,21.88,0,NO
37.5,0,0,50,12.5,NO
11.11,0,11.11,77.78,0,NO
65.79,0,5.26,28.95,0,NO
45.71,0,2.86,51.43,0,NO
45.95,0,0,54.05,0,NO
41.03,0,0,56.41,2.56,NO
56.67,0,0,43.33,0,NO
77.14,0,0,17.14,5.71,NO
59.38,0,3.12,37.5,0,NO
42.11,0,0,55.26,2.63,NO
57.5,0,0,35,7.5,NO
50,0,2.5,40,7.5,NO
76.32,0,0,18.42,5.26,NO
33.33,0,0,63.89,2.78,NO
40.74,0,3.7,51.85,3.7,NO
51.35,5.41,2.7,40.54,0,NO
50,0,50,0,0,NO
68.42,0,0,31.58,0,NO
50,12.5,37.5,0,0,NO
25,0,12.5,56.25,6.25,NO
91.89,0,8.11,0,0,NO
78.95,5.26,10.53,5.26,0,NO
21.28,0,8.51,63.83,6.38,NO
31.25,0,2.08,62.5,4.17,NO
50,2.63,7.89,39.47,0,NO
70.45,2.27,2.27,18.18,6.82,NO
44.44,0,22.22,33.33,0,NO
60,0,0,40,0,NO
0,0,20,80,0,NO
19.05,0,42.86,38.1,0,NO
56.76,0,13.51,21.62,8.11,NO
60.71,0,28.57,7.14,3.57,NO
37.04,11.11,37.04,14.81,0,NO
8.82,0,5.88,85.29,0,NO
55.26,0,2.63,42.11,0,NO
35.71,0,0,64.29,0,NO
11.11,11.11,11.11,66.67,0,NO
35.9,12.82,12.82,38.46,0,NO
40,0,0,50,10,NO
4.88,2.44,7.32,73.17,12.2,NO
0,0,21.62,75.68,2.7,NO
41.46,4.88,2.44,48.78,2.44,NO
6.67,0,6.67,80,6.67,NO
19.15,0,2.13,78.72,0,NO
22.22,11.11,16.67,50,0,NO
33.33,0,66.67,0,0,NO
13.51,5.41,16.22,64.86,0,NO
58.54,0,4.88,36.59,0,NO
36.36,2.27,9.09,52.27,0,NO
17.95,2.56,7.69,71.79,0,NO
6.98,2.33,6.98,83.72,0,NO
0,0,2.08,97.92,0,NO
9.3,6.98,11.63,72.09,0,NO
8.51,2.13,2.13,87.23,0,NO
0,0,0,100,0,NO
18.6,9.3,11.63,60.47,0,NO
4.55,2.27,2.27,86.36,4.55,NO
4.44,2.22,2.22,88.89,2.22,NO
26.83,2.44,4.88,63.41,2.44,NO
53.85,0,2.56,43.59,0,NO
36.36,4.55,9.09,45.45,4.55,NO
34.09,4.55,6.82,54.55,0,NO
36.84,2.63,2.63,55.26,2.63,NO
6.38,0,2.13,91.49,0,NO
70,5,7.5,17.5,0,NO
30.23,4.65,6.98,58.14,0,NO
51.43,2.86,22.86,20,2.86,NO
57.14,2.86,17.14,22.86,0,NO
48,0,4,44,4,NO
0,0,100,0,0,NO
13.95,0,2.33,74.42,9.3,NO
30,0,5,65,0,NO
37.14,8.57,11.43,37.14,5.71,YES
8.11,2.7,2.7,83.78,2.7,NO
21.43,4.76,4.76,69.05,0,NO
56.1,4.88,4.88,34.15,0,NO
26.67,6.67,13.33,53.33,0,YES
50,12.5,25,12.5,0,NO
69.7,6.06,24.24,0,0,NO
79.31,6.9,6.9,6.9,0,NO
100,0,0,0,0,NO
75,12.5,12.5,0,0,NO
22.22,0,13.89,63.89,0,NO
17.78,0,6.67,75.56,0,NO
22.22,0,11.11,66.67,0,NO
75,0,25,0,0,NO
56,8,24,12,0,NO
20,2.86,31.43,45.71,0,NO
71.05,0,15.79,13.16,0,NO
0,0,0,0,0,NO
35,0,0,60,5,NO
26.32,0,2.63,71.05,0,NO
93.33,0,0,6.67,0,NO
0,0,100,0,0,NO
52.63,0,0,47.37,0,NO
18.75,0,0,81.25,0,NO
6.67,0,0,84.44,8.89,NO
31.82,0,0,68.18,0,NO
14.63,0,14.63,68.29,2.44,NO
41.03,2.56,15.38,41.03,0,NO
68.57,2.86,22.86,5.71,0,NO
73.68,0,10.53,15.79,0,NO
100,0,0,0,0,NO
95.24,0,4.76,0,0,YES
57.89,0,13.16,26.32,2.63,NO
50,0,0,50,0,NO
28.21,0,12.82,56.41,2.56,NO
9.09,2.27,2.27,68.18,18.18,NO
19.44,2.78,8.33,63.89,5.56,NO
40,2.5,2.5,52.5,2.5,NO
11.9,4.76,2.38,76.19,4.76,NO
32.43,0,0,51.35,16.22,NO
23.68,7.89,15.79,44.74,7.89,NO
66.67,0,33.33,0,0,YES
50,0,50,0,0,NO
71.05,7.89,15.79,5.26,0,NO
22.22,11.11,25,41.67,0,NO
42.86,5.71,17.14,34.29,0,NO
19.51,4.88,9.76,58.54,7.32,NO
7.5,2.5,5,82.5,2.5,NO
5.26,2.63,5.26,84.21,2.63,NO
26.32,5.26,13.16,50,5.26,NO
34.15,7.32,14.63,43.9,0,NO
20,0,5,67.5,7.5,NO
7.5,0,7.5,77.5,7.5,NO
6.98,0,11.63,76.74,4.65,NO
34.15,2.44,7.32,56.1,0,NO
34.21,2.63,10.53,52.63,0,NO
13.33,2.22,4.44,80,0,NO
5,0,0,95,0,NO
78.57,2.38,7.14,11.9,0,NO
76.92,2.56,2.56,15.38,2.56,NO
64.71,2.94,2.94,26.47,2.94,NO
40,0,0,57.78,2.22,NO
15.79,2.63,2.63,78.95,0,NO
26.83,2.44,2.44,68.29,0,NO
90.91,0,9.09,0,0,NO
80,0,20,0,0,NO
52.38,9.52,11.9,26.19,0,NO
46.15,7.69,7.69,38.46,0,NO
23.91,2.17,6.52,67.39,0,NO
13.16,7.89,15.79,63.16,0,NO
25,0,75,0,0,NO
31.25,9.38,40.62,18.75,0,NO
35.48,3.23,16.13,45.16,0,NO
43.24,8.11,18.92,29.73,0,NO
27.27,18.18,9.09,45.45,0,NO
16.22,5.41,27.03,51.35,0,NO
40.91,4.55,4.55,50,0,NO
52.17,0,2.17,39.13,6.52,NO
2.13,0,2.13,95.74,0,NO
24.39,7.32,4.88,53.66,9.76,NO
19.51,4.88,7.32,68.29,0,NO
9.09,2.27,2.27,86.36,0,NO
29.27,7.32,7.32,56.1,0,NO
0,0,2.08,93.75,4.17,NO
4,4,8,84,0,NO
100,0,0,0,0,NO
100,0,0,0,0,NO
25,0,75,0,0,NO
100,0,0,0,0,NO
58.33,2.78,8.33,27.78,2.78,NO
35.71,0,17.86,42.86,3.57,NO
27.78,0,22.22,41.67,8.33,NO
10.53,0,23.68,65.79,0,NO
25,0,15,52.5,7.5,NO
12.12,0,36.36,48.48,3.03,NO
0,0,45.16,48.39,6.45,NO
5.41,0,27.03,62.16,5.41,NO
15,0,15,67.5,2.5,NO
9.76,4.88,4.88,80.49,0,NO
51.22,2.44,7.32,39.02,0,NO
20,10,12.5,22.5,35,NO
51.28,5.13,7.69,35.9,0,NO
21.95,7.32,7.32,63.41,0,NO
46.34,0,2.44,43.9,7.32,NO
35.14,5.41,5.41,48.65,5.41,NO
20.93,4.65,6.98,41.86,25.58,NO
16.67,4.17,4.17,75,0,NO
24.44,6.67,6.67,62.22,0,NO
63.16,10.53,13.16,13.16,0,NO
0,0,0,0,0,NO
75,0,8.33,11.11,5.56,NO
54.05,0,0,40.54,5.41,NO
74.29,0,2.86,22.86,0,NO
55.26,0,0,44.74,0,NO
10.81,0,5.41,72.97,10.81,NO
13.64,0,0,75,11.36,NO
60.87,0,4.35,34.78,0,NO
59.52,2.38,11.9,26.19,0,NO
19.05,0,0,80.95,0,NO
22.5,5,10,60,2.5,NO
41.67,8.33,25,25,0,NO
53.85,2.56,28.21,15.38,0,NO
35.29,5.88,20.59,38.24,0,NO
37.5,12.5,40.62,9.38,0,NO
41.38,6.9,13.79,37.93,0,NO
100,0,0,0,0,NO
86.67,0,13.33,0,0,NO
34.78,0,4.35,56.52,4.35,NO
62.16,0,0,37.84,0,NO
29.55,2.27,6.82,59.09,2.27,NO
28.21,2.56,7.69,61.54,0,NO
10.87,0,0,89.13,0,NO
6.67,0,0,93.33,0,NO
0,0,0,90.91,9.09,NO
4.76,2.38,2.38,90.48,0,NO
43.75,3.12,12.5,28.12,12.5,NO
83.33,2.78,13.89,0,0,NO
39.02,0,2.44,56.1,2.44,NO
0,0,0,100,0,NO
0,0,0,86.67,13.33,NO
28.95,7.89,21.05,42.11,0,NO
42.11,5.26,15.79,34.21,2.63,NO
42.42,6.06,18.18,33.33,0,NO
25.58,0,6.98,67.44,0,NO
11.9,4.76,9.52,73.81,0,NO
23.53,2.94,14.71,58.82,0,NO
16.67,2.78,13.89,58.33,8.33,NO
41.03,2.56,10.26,46.15,0,NO
2.38,0,7.14,85.71,4.76,NO
53.57,7.14,10.71,28.57,0,NO
8.57,5.71,34.29,51.43,0,NO
17.65,5.88,29.41,41.18,5.88,NO
2.56,0,17.95,79.49,0,NO
30,2.5,7.5,55,5,NO
11.11,2.78,13.89,61.11,11.11,NO
24.24,6.06,36.36,33.33,0,NO
75,0,5,20,0,NO
71.05,0,0,28.95,0,NO
52.78,2.78,2.78,38.89,2.78,NO
91.43,0,5.71,2.86,0,NO
100,0,0,0,0,NO
100,0,0,0,0,NO
75.68,2.7,5.41,16.22,0,NO
91.67,0,0,8.33,0,NO
50,0,45.45,4.55,0,NO
27.5,5,15,52.5,0,NO
90.24,2.44,7.32,0,0,NO
94.87,0,5.13,0,0,NO
78.57,0,2.38,19.05,0,NO
90.24,0,0,9.76,0,NO
58.7,2.17,2.17,19.57,17.39,NO
59.09,0,4.55,36.36,0,NO
47.83,0,0,52.17,0,NO
46.67,0,0,35.56,17.78,NO
71.74,0,0,17.39,10.87,NO
51.22,2.44,2.44,34.15,9.76,NO
53.85,0,0,33.33,12.82,NO
70.73,0,2.44,17.07,9.76,NO
75,0,0,25,0,NO
65.85,0,2.44,31.71,0,NO
47.22,0,0,41.67,11.11,NO
50,0,7.5,40,2.5,NO
59.26,0,3.7,33.33,3.7,NO
67.5,0,2.5,27.5,2.5,NO
41.86,0,2.33,53.49,2.33,NO
69.23,2.56,2.56,23.08,2.56,NO
80.95,0,2.38,16.67,0,NO
59.52,0,2.38,30.95,7.14,NO
31.25,0,0,54.17,14.58,NO
48.72,2.56,2.56,46.15,0,NO
71.05,7.89,7.89,13.16,0,NO
48.89,0,4.44,42.22,4.44,NO
20.93,2.33,2.33,67.44,6.98,NO
